action_head_like,actor,bucket,card_select,combat_pick,critical_action_option,critical_combo,decision_idx,game_idx,has_cast_spy_option,has_dread_return_option,has_land_play_option,has_lotleth_option,has_nonpass_option,kind,label,matchup,max_prob,options_count,pass_with_nonpass,path,phase,selected,selected_cast_dread_return,selected_cast_spy,selected_is_top,selected_lotleth,selected_pass,selected_play_land,selected_prob,target_pick,top_options,turn,value_gt_1,value_score
True,PlayerRL1,high_score_loss,False,False,False,False,53,11,False,False,False,False,True,decision,0,Deck - Grixis Affinity,0.5633,2,True,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_006\game_20260514_124823_0002.txt,Declare Blockers,Pass,False,False,1.0,False,True,False,0.5633,False,"*0.563:Pass | 0.437:{T}, Tap an untapped creature you control: Add one mana of any color.",4,False,0.754504
True,PlayerRL1,high_score_loss,False,False,False,False,80,5,False,False,False,False,True,decision,0,Deck - Grixis Affinity,0.3099,4,True,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_003\game_20260514_124722_0002.txt,Precombat Main,Pass,False,False,1.0,False,True,False,0.3099,False,"*0.310:Pass | 0.240:{T}, Tap an untapped creature you control: Add one mana of any color. | 0.230:Forestcycling {1} <i>({1}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle.)</i> | 0.220:Return a Forest you control to its owner's hand: Untap target creature. Activate only once each turn.",6,False,0.727434
True,PlayerRL1,high_score_loss,False,False,False,False,75,11,False,False,False,False,True,decision,0,Deck - Grixis Affinity,0.3194,4,True,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_006\game_20260514_124823_0002.txt,Precombat Main,Pass,False,False,1.0,False,True,False,0.3194,False,"*0.319:Pass | 0.241:{T}: Add {B}. | 0.241:Forestcycling {1} <i>({1}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle.)</i> | 0.199:Swampcycling {1} <i>({1}, Discard this card: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.)</i>",6,False,0.722364
True,PlayerRL1,high_score_loss,False,False,False,False,112,14,False,False,False,False,True,decision,0,Deck - Grixis Affinity,0.6008,2,True,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_008\game_20260514_124813_0001.txt,Precombat Main,Pass,False,False,1.0,False,True,False,0.6008,False,*0.601:Pass | 0.399:{T}: Add {B}.,8,False,0.721267
True,PlayerRL1,high_score_loss,False,False,False,False,50,11,False,False,False,False,True,decision,0,Deck - Grixis Affinity,0.5622,2,True,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_006\game_20260514_124823_0002.txt,Precombat Main,Pass,False,False,1.0,False,True,False,0.5622,False,"*0.562:Pass | 0.438:{T}, Tap an untapped creature you control: Add one mana of any color.",4,False,0.721116
True,PlayerRL1,high_score_loss,False,False,False,False,151,9,False,False,False,False,True,decision,0,Deck - Grixis Affinity,0.5706,2,True,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_005\game_20260514_124707_0002.txt,Precombat Main,Pass,False,False,1.0,False,True,False,0.5706,False,*0.571:Pass | 0.429:{T}: Add {G}.,11,False,0.714072
True,PlayerRL1,high_score_loss,False,False,False,False,96,12,False,False,False,False,True,decision,0,Deck - Grixis Affinity,0.4171,3,True,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_007\game_20260514_124806_0001.txt,Precombat Main,Pass,False,False,1.0,False,True,False,0.4171,False,*0.417:Pass | 0.307:{T}: Add {G}. | 0.276:{T}: Add {B}.,7,False,0.708657
True,PlayerRL1,high_score_loss,False,False,False,False,79,15,False,False,False,False,True,decision,0,Deck - Grixis Affinity,0.3193,4,True,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_008\game_20260514_124930_0002.txt,Precombat Main,Pass,False,False,1.0,False,True,False,0.3193,False,*0.319:Pass | 0.260:{T}: Add {G}. | 0.239:{T}: Add {B}. | 0.182:{T}: Add {B}. {this} deals 1 damage to you.,6,False,0.70438
True,PlayerRL1,high_score_loss,False,False,False,False,78,11,False,False,False,False,True,decision,0,Deck - Grixis Affinity,0.3229,4,True,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_006\game_20260514_124823_0002.txt,Postcombat Main,Pass,False,False,1.0,False,True,False,0.3229,False,"*0.323:Pass | 0.240:Forestcycling {1} <i>({1}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle.)</i> | 0.234:{T}: Add {B}. | 0.203:Swampcycling {1} <i>({1}, Discard this card: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.)</i>",6,False,0.698973
True,PlayerRL1,high_score_loss,False,False,False,False,49,11,False,False,False,False,True,decision,0,Deck - Grixis Affinity,0.5594,2,True,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_006\game_20260514_124823_0002.txt,Precombat Main,Pass,False,False,1.0,False,True,False,0.5594,False,"*0.559:Pass | 0.441:{T}, Tap an untapped creature you control: Add one mana of any color.",4,False,0.698784
