critical_decisions,decisions,first_non_mulligan_value_score,first_value_score,game_idx,label,last_value_score,matchup,max_value_score,mean_critical_value_score,mean_value_score,min_value_score,path
1,157,-0.192707,-0.192707,0,0,0.0,Deck - Grixis Affinity,0.474651,0.045488,-0.01235752229299363,-0.271426,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_001\game_20260514_124506_0001.txt
0,89,-0.188767,-0.188767,1,0,0.463225,Deck - Grixis Affinity,0.639981,,0.03188880898876405,-0.244681,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_001\game_20260514_124615_0002.txt
1,123,-0.195958,-0.195958,2,0,0.183049,Deck - Grixis Affinity,0.692155,-0.026521,0.00397518699186992,-0.431736,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_002\game_20260514_124654_0001.txt
1,133,-0.183482,-0.183482,3,0,0.00108,Deck - Grixis Affinity,0.369055,-0.26434,-0.05339793233082707,-0.428314,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_002\game_20260514_124720_0002.txt
2,98,-0.19628,-0.19628,4,0,0.181689,Deck - Grixis Affinity,0.653751,-0.0553445,-0.05939478571428571,-0.469945,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_003\game_20260514_124654_0001.txt
0,56,0.0,0.0,5,0,0.59748,Deck - Grixis Affinity,0.727434,,0.012258339285714287,-0.427107,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_003\game_20260514_124722_0002.txt
0,104,-0.19563,-0.19563,6,1,0.0,Deck - Grixis Affinity,0.343199,,0.07357379807692307,-0.513722,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_004\game_20260514_124654_0001.txt
0,109,-0.179677,-0.179677,7,0,0.0,Deck - Grixis Affinity,0.439398,,0.028213256880733947,-0.344315,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_004\game_20260514_124701_0002.txt
0,163,-0.20477,-0.20477,8,1,0.0,Deck - Grixis Affinity,0.276917,,0.04182184662576687,-0.29043,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_005\game_20260514_124654_0001.txt
0,149,-0.199694,-0.199694,9,0,-0.083734,Deck - Grixis Affinity,0.714072,,-0.08429944966442952,-0.498852,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_005\game_20260514_124707_0002.txt
2,194,-0.201938,-0.201938,10,0,0.0,Deck - Grixis Affinity,0.606912,0.043304999999999996,-4.030927835051577e-05,-0.42259,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_006\game_20260514_124800_0001.txt
0,82,-0.199661,-0.199661,11,0,-0.192484,Deck - Grixis Affinity,0.754504,,-0.05283742682926829,-0.48579,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_006\game_20260514_124823_0002.txt
2,109,-0.20363,-0.20363,12,0,-0.426841,Deck - Grixis Affinity,0.708657,-0.3091355,-0.09676555963302753,-0.499702,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_007\game_20260514_124806_0001.txt
2,96,-0.185898,-0.185898,13,1,0.0,Deck - Grixis Affinity,0.329014,0.0989455,-0.00045604166666666715,-0.336248,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_007\game_20260514_124830_0002.txt
1,121,-0.199979,-0.199979,14,0,0.088328,Deck - Grixis Affinity,0.721267,-0.022777,0.0314759173553719,-0.199979,local-training\local_pbt\cp7_eval_sweeps\20260514_accepted_affinity_logged_cp7_g16\game_logs\Pauper-Spy-Combo-Value__Deck_-_Spy_Combo__vs__Deck_-_Grixis_Affinity__chunk_008\game_20260514_124813_0001.txt
