acc_value_ge_0,auc,base_winrate,brier_affine,losses,max_score,mean_loss_score,mean_max_prob,mean_score,mean_selected_prob,mean_win_score,min_score,n,p10_score,p50_score,p90_score,pearson,score_gap_win_minus_loss,selected_top_rate,subset,wins
0.485239,0.660896,0.194847,0.242840,1500,0.754504,-0.027795,0.682831,-0.014637,0.682474,0.039738,-0.513722,1863,-0.202400,0.000000,0.162962,0.150976,0.067533,0.996243,all,363
0.664591,0.717537,0.183274,0.238132,918,0.754504,-0.045417,0.474300,-0.024260,0.473710,0.070024,-0.513722,1124,-0.292385,-0.023135,0.263722,0.196249,0.115441,0.993772,nontrivial_options,206
,,,,0,,,,,,,,0,,,,,,,mulligan,0
0.485239,0.660896,0.194847,0.242840,1500,0.754504,-0.027795,0.682831,-0.014637,0.682474,0.039738,-0.513722,1863,-0.202400,0.000000,0.162962,0.150976,0.067533,0.996243,non_mulligan,363
0.480392,0.659992,0.194925,0.243253,1396,0.754504,-0.027221,0.683499,-0.014475,0.683498,0.038169,-0.513722,1734,-0.202400,0.000000,0.164135,0.145922,0.065390,0.998847,action_head_like,338
0.478261,0.763736,0.152174,0.242544,78,0.537790,-0.018703,0.655166,0.000592,0.647957,0.108097,-0.494876,92,-0.213999,0.012983,0.172763,0.244183,0.126800,0.945652,target_pick,14
,,,,0,,,,,,,,0,,,,,,,value_gt_1,0
0.481061,0.597067,0.168561,0.237402,439,0.519165,-0.038895,0.722682,-0.031903,0.722682,0.002584,-0.328567,528,-0.188316,0.000000,0.027228,0.130590,0.041479,1.000000,turn_le_3,89
0.486891,0.672580,0.205243,0.244991,1061,0.754504,-0.023203,0.667069,-0.007808,0.666572,0.051806,-0.513722,1335,-0.248687,0.000000,0.181932,0.155309,0.075009,0.994757,turn_ge_4,274
0.743590,0.735776,0.217949,0.206234,61,0.273084,-0.125728,0.484304,-0.092876,0.484304,0.025005,-0.510377,78,-0.223870,-0.082643,0.063178,0.402868,0.150733,1.000000,has_land_play_option,17
0.605893,0.575352,0.103131,0.263861,487,0.754504,-0.010738,0.451774,-0.009872,0.451774,-0.002333,-0.506209,543,-0.367385,-0.029049,0.357552,0.009389,0.008406,1.000000,pass_with_nonpass,56
0.750000,0.737107,0.220588,0.204492,53,0.273084,-0.132501,0.519059,-0.098024,0.519059,0.023791,-0.510377,68,-0.232107,-0.085192,0.063178,0.406611,0.156292,1.000000,selected_play_land,15
0.800000,0.625000,0.200000,0.212394,8,0.289889,-0.089581,0.309650,-0.051876,0.309650,0.098946,-0.378931,10,-0.275799,-0.027947,0.119006,0.436891,0.188527,1.000000,has_cast_spy_option,2
0.777778,0.642857,0.222222,0.208956,7,0.289889,-0.100463,0.304289,-0.056150,0.304289,0.098946,-0.378931,9,-0.287258,-0.029373,0.137993,0.456907,0.199408,1.000000,selected_cast_spy,2
0.500000,,0.000000,0.208956,2,0.045488,-0.096926,0.257600,-0.096926,0.257600,,-0.239340,2,-0.210857,-0.096926,0.017005,,,1.000000,has_dread_return_option,0
0.000000,,0.000000,0.273261,1,0.045488,0.045488,0.207200,0.045488,0.207200,,0.045488,1,0.045488,0.045488,0.045488,,,1.000000,selected_cast_dread_return,0
0.750000,0.650000,0.166667,0.211821,10,0.289889,-0.091050,0.300975,-0.059384,0.300975,0.098946,-0.378931,12,-0.261840,-0.027947,0.094566,0.419499,0.189996,1.000000,critical_action_option,2
0.750000,0.650000,0.166667,0.211821,10,0.289889,-0.091050,0.300975,-0.059384,0.300975,0.098946,-0.378931,12,-0.261840,-0.027947,0.094566,0.419499,0.189996,1.000000,critical_combo,2
